vloz;2000;17;1164
ukaz;600;17;8685
vyber;700;16;6429
vloz;2100;17;8917
vloz;1900;18;2413
vyber;700;17;4243
vyber;700;16;5029
ukaz;400;16;4448
vyber;700;15;6857
ukaz;500;15;1228
vyber;700;14;6618
ukaz;400;14;5428
vloz;1300;15;39
ukaz;400;15;2285
vyber;700;14;9512
vyber;700;13;9760
vloz;1300;14;2579
vyber;600;13;1257
ukaz;400;13;1833
vloz;1300;14;900
vloz;1900;15;4825
vyber;700;14;7038
vyber;900;13;8188
vloz;1400;14;6795
vyber;700;13;2587
vloz;2000;14;8967
ukaz;400;14;7608
ukaz;400;14;5477
vloz;1300;15;5892
vloz;1900;16;8897
vyber;700;15;8637
vyber;700;14;7198
ukaz;400;14;1208
vyber;700;13;778
vyber;700;12;3165
ukaz;700;12;116
vloz;1500;13;5523
vloz;2100;14;8639
ukaz;400;14;9473
ukaz;400;14;4797
vyber;700;13;2309
vloz;1300;14;2939
vloz;20500;15;6532
vloz;1600;16;1563
ukaz;400;16;3198
vyber;800;15;1145
vloz;1400;16;1258
vyber;700;15;4548
ukaz;400;15;8810
vyber;600;14;2650
vloz;1300;15;5755
vloz;1500;16;1885
ukaz;400;16;8360
vyber;800;15;5413
vyber;600;14;6215
vyber;900;13;1025
ukaz;500;13;9783
vloz;1600;14;4046
vyber;700;13;1410
ukaz;400;13;2690
ukaz;400;13;7791
ukaz;400;13;4952
vloz;1300;14;5765
vyber;700;13;9434
vyber;700;12;1357
vloz;1300;13;1569
vloz;2000;14;2715
vyber;700;13;8672
ukaz;400;13;7462
vloz;1400;14;1144
vloz;1900;15;7552
ukaz;400;15;9991
ukaz;400;15;5157
vloz;1900;16;2459
vloz;1500;17;400
vyber;700;16;1478
vloz;2100;17;9046
vyber;700;16;1915
ukaz;400;16;265
vyber;700;15;5977
vyber;700;14;1945
ukaz;500;14;4263
vyber;700;13;6930
vyber;700;12;4086
ukaz;500;12;2594
ukaz;400;12;58
vloz;1300;13;6354
vloz;1900;14;8752
ukaz;500;14;7842
vyber;700;13;3849
vloz;1300;14;2427
vloz;1300;15;1065
ukaz;400;15;9521
vloz;1900;16;6120
vloz;1800;17;1879
ukaz;400;17;92
vyber;700;16;2814
ukaz;500;16;2741
vyber;700;15;3139
vloz;1500;16;1022
vyber;700;15;1377
vyber;700;14;3536
vloz;1300;15;707
ukaz;400;15;1425
vloz;1900;16;8038
vloz;8600;17;1450
vloz;2400;18;3184
vloz;2200;19;7314
ukaz;600;19;6858
vyber;1100;18;6381
vloz;6500;19;4273
vyber;800;18;727
vloz;1700;19;1454
vyber;700;18;9445
ukaz;400;18;2346
ukaz;400;18;2638
vyber;700;17;3746
ukaz;400;17;9807
ukaz;400;17;4651
vyber;800;16;7376
vyber;700;15;9086
ukaz;400;15;2257
vloz;1600;16;5373
ukaz;400;16;2401
ukaz;400;16;921
vyber;700;15;1668
vloz;1600;16;3494
vloz;1600;17;784
ukaz;400;17;8366
vloz;2100;18;7709
vyber;800;17;9413
vyber;700;16;5803
vloz;2500;17;9901
vyber;800;16;9208
vyber;800;15;3103
vloz;2400;16;8705
vyber;700;15;4547
vloz;1700;16;713
ukaz;400;16;7676
ukaz;500;16;7029
vyber;800;15;578
vyber;800;14;7244
vyber;900;13;1683
ukaz;400;13;9787
vyber;700;12;8468
vyber;700;11;9250
vyber;700;10;1278
vloz;1600;11;777
vloz;2000;12;1453
ukaz;400;12;8099
vyber;700;11;7269
vyber;700;10;9552
